Index, Abscissae, Approximated Derivative
0,0.0,1.0
1,0.0126,1.0
2,0.0251,1.0
3,0.0377,0.9960317460317462
4,0.0503,1.0
5,0.0628,1.0000000000000002
6,0.0754,0.9960317460317465
7,0.088,0.9999999999999994
8,0.1005,0.9960159362549794
9,0.1131,0.9880952380952378
10,0.1257,0.992031872509961
11,0.1382,0.992031872509961
12,0.1508,0.9841269841269836
13,0.1634,0.9880478087649394
14,0.1759,0.9880478087649405
15,0.1885,0.9801587301587301
16,0.2011,0.9800796812748993
17,0.2136,0.9800796812749004
18,0.2262,0.972222222222222
19,0.2388,0.9721115537848604
20,0.2513,0.9681274900398398
21,0.2639,0.964285714285715
22,0.2765,0.9641434262948224
23,0.289,0.9561752988047812
24,0.3016,0.9523809523809532
25,0.3142,0.9521912350597618
26,0.3267,0.9482071713147401
27,0.3393,0.9404761904761905
28,0.3519,0.9402390438247011
29,0.3644,0.9362549800796794
30,0.377,0.9285714285714298
31,0.3896,0.9282868525896427
32,0.4021,0.9203187250995993
33,0.4147,0.9126984126984113
34,0.4273,0.9123505976095626
35,0.4398,0.9043824701195214
36,0.4524,0.8968253968253972
37,0.465,0.8964143426294845
38,0.4775,0.8884462151394432
39,0.4901,0.8809523809523789
40,0.5027,0.8764940239043829
41,0.5152,0.8685258964143439
42,0.5278,0.8611111111111088
43,0.5404,0.8605577689243044
44,0.5529,0.852589641434266
45,0.5655,0.8412698412698412
46,0.5781,0.8406374501991987
47,0.5906,0.8326693227091642
48,0.6032,0.8214285714285735
49,0.6158,0.8167330677290818
50,0.6283,0.8087649402390429
51,0.6409,0.7976190476190479
52,0.6535,0.7968127490039845
53,0.666,0.7888446215139454
54,0.6786,0.7738095238095223
55,0.6912,0.7729083665338631
56,0.7037,0.7649402390438241
57,0.7163,0.7529880478087657
58,0.7288,0.7450199203187301
59,0.7414,0.7341269841269825
60,0.754,0.7330677290836639
61,0.7665,0.7211155378486055
62,0.7791,0.7063492063492078
63,0.7917,0.7051792828685275
64,0.8042,0.6972111553784841
65,0.8168,0.6825396825396822
66,0.8294,0.6733067729083673
67,0.8419,0.6693227091633434
68,0.8545,0.6547619047619031
69,0.8671,0.6454183266932265
70,0.8796,0.641434262948207
71,0.8922,0.6269841269841284
72,0.9048,0.6175298804780901
73,0.9173,0.6095617529880495
74,0.9299,0.5952380952380958
75,0.9425,0.5856573705179299
76,0.955,0.5776892430278865
77,0.9676,0.5674603174603167
78,0.9802,0.5577689243027891
79,0.9927,0.5458167330677283
80,1.0053,0.535714285714284
81,1.0179,0.5258964143426311
82,1.0304,0.5139442231075727
83,1.043,0.5039682539682491
84,1.0556,0.4940239043824664
85,1.0681,0.48207171314741226
86,1.0807,0.4682539682539716
87,1.0933,0.45816733067729526
88,1.1058,0.4501992031872479
89,1.1184,0.43650793650793496
90,1.131,0.42629482071713487
91,1.1435,0.41434262948207196
92,1.1561,0.4007936507936489
93,1.1687,0.394422310756971
94,1.1812,0.38247011952191157
95,1.1938,0.3650793650793661
96,1.2064,0.3545816733067719
97,1.2189,0.3466135458167286
98,1.2315,0.33333333333333776
99,1.2441,0.32270916334661465
100,1.2566,0.310756972111549
101,1.2692,0.29365079365079527
102,1.2818,0.28286852589641526
103,1.2943,0.27490039840637626
104,1.3069,0.261904761904765
105,1.3195,0.2470119521912332
106,1.332,0.2350597609561748
107,1.3446,0.2261904761904743
108,1.3572,0.21513944223107498
109,1.3697,0.19920318725099523
110,1.3823,0.18650793650793718
111,1.3949,0.17529880478088
112,1.4074,0.1633466135458171
113,1.42,0.15079365079365115
114,1.4326,0.13545816733067498
115,1.4451,0.12350597609561768
116,1.4577,0.11507936507936613
117,1.4703,0.09960159362549628
118,1.4828,0.08764940239043702
119,1.4954,0.07539682539682557
120,1.508,0.059760956175301305
121,1.5205,0.05179282868525789
122,1.5331,0.03968253968253954
123,1.5457,0.023904382470121197
124,1.5582,0.011952191235058493
125,1.5708,0.0
126,1.5834,-0.011952191235058387
127,1.5959,-0.023904382470121197
128,1.6085,-0.039682539682539895
129,1.6211,-0.05179282868525789
130,1.6336,-0.05976095617530078
131,1.6462,-0.07539682539682557
132,1.6588,-0.0876494023904378
133,1.6713,-0.09960159362549628
134,1.6839,-0.11507936507936613
135,1.6965,-0.1235059760956166
136,1.709,-0.13545816733067498
137,1.7216,-0.15079365079365248
138,1.7342,-0.1633466135458171
139,1.7467,-0.17529880478087845
140,1.7593,-0.18650793650793718
141,1.7719,-0.19920318725099698
142,1.7844,-0.21513944223107498
143,1.797,-0.2261904761904723
144,1.8096,-0.2350597609561748
145,1.8221,-0.24701195219123537
146,1.8347,-0.261904761904765
147,1.8473,-0.27490039840637626
148,1.8598,-0.28286852589641276
149,1.8724,-0.29365079365079527
150,1.885,-0.31075697211155173
151,1.8975,-0.32270916334661465
152,1.9101,-0.3333333333333348
153,1.9227,-0.3466135458167286
154,1.9352,-0.3545816733067751
155,1.9478,-0.3650793650793661
156,1.9604,-0.3824701195219082
157,1.9729,-0.394422310756971
158,1.9855,-0.4007936507936525
159,1.9981,-0.4143426294820683
160,2.0106,-0.4262948207171311
161,2.0232,-0.43650793650793884
162,2.0358,-0.45019920318725587
163,2.0483,-0.4581673306772912
164,2.0609,-0.46825396825396337
165,2.0735,-0.48207171314741654
166,2.086,-0.4940239043824751
167,2.0986,-0.5039682539682446
168,2.1112,-0.5139442231075682
169,2.1237,-0.5258964143426358
